daily,dynamic_path_appkey,dynamic_path_page_name,dynamic_path,unique_event_count,total_event_count,page_name
2022-10-27,2ktEfh72p0GEz3dQ9OkcpQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/oEazmjVCNkK5AYlzoR2usg/customer-data/2ktEfh72p0GEz3dQ9OkcpQ/audience-studio/0IUPSy7bBEGp4JCi8vl33g/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-19,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/GBHVfAgL8kifglh2ABgCfQ/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-17,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/5qrUWnQkpkagfF39feRwxg/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-11,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/y5iot7LXD0eAm6EMQgiTnQ/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-07,IEcfMTxPDUaFUnfUZutaQQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/fDToslaaf0S4pWzGJkWsZA/customer-data/IEcfMTxPDUaFUnfUZutaQQ/audience-studio/9U4e5smIiUmwv8xcBjwNHg/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-07,IEcfMTxPDUaFUnfUZutaQQ,AppAudienceStudioDetailsInsightsUserMovementPage,/fDToslaaf0S4pWzGJkWsZA/customer-data/IEcfMTxPDUaFUnfUZutaQQ/audience-studio/zPhcIuP3qUKiPhss51XkAQ/insight/user-movement,1,1,2. 유저동선
2022-10-07,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/GnaANsPiGkaloZoYLUAavA/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-07,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/yCjM12a3G0KQI3Tj1Y2ABw/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-10-07,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsUserMovementPage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/yCjM12a3G0KQI3Tj1Y2ABw/insight/user-movement,1,1,2. 유저동선
2022-10-07,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/OHozjL1GdEWrNmWW6rNi2g/insight/audience-profile,1,1,1. 오디언스 프로파일
